Team,season_off_eff,season_def_eff,season_possessions,last5_off_eff,last5_def_eff,last5_possessions,away_off_eff,home_off_eff,neutral_off_eff,away_def_eff,home_def_eff,neutral_def_eff,away_possessions,home_possessions,neutral_possessions,off_eff,def_eff,possessions,Elo,Power_Rating,Elo_Normalized,Overall_Rating,SOS_Rating,quality_win,bad_loss,Resume_Score,Difficulty_Adjusted_Effectiveness,Recent_Form,Tournament_Score,Tournament_Rank,projected_seed,tournament_status,bubble_status
Duke Blue Devils,123.26106538000496,92.71277308593075,67.17338709677419,127.09719728093782,91.65537971092347,64.94500000000001,124.28641291270947,125.19152579880546,115.21391955165362,93.80958330524976,89.16080451938616,100.95569630306274,66.19090909090909,68.19,66.285,123.01302648098546,93.68486322474872,66.48303225806453,1717.3926950715784,29.328163256236735,8.695707802863135,23.138426620224653,3.528088590247417,11,0,19.8,17.91609630908129,4.893525275940135,15.148514831478353,1,1 Seed,Lock,Safe
Michigan Wolverines,121.92737733395695,96.6760679737652,72.49274193548388,116.62052805431645,107.3179926236558,65.845,118.07058848389975,125.86335403337303,118.60438270583454,103.05845900650878,93.81174100226589,91.22778861622723,69.56818181818181,73.80833333333334,74.97999999999999,120.10221581982847,98.51930723260715,71.20389516129032,1716.4121129154134,21.582908587221326,8.656484516616537,17.70498136603989,4.391963261655837,13,0,23.400000000000002,16.020350576468072,-15.9487739295311,13.71814545720263,2,1 Seed,Lock,Safe
Miami (OH) RedHawks,120.22748338118329,104.06393749342176,72.49375,113.77817674810747,105.0651271185637,72.97,118.85047818012644,122.25841475965382,113.10344827586208,106.1179813171335,102.36241616732724,97.42710120068611,72.07321428571429,72.94615384615385,72.5,117.54655145711615,103.31870945579689,72.61375000000001,1713.9456941276571,14.22784200131926,8.557827765106286,12.526837730455366,-1.7483816418239297,2,0,3.6,5.9792032258893295,-7.450496258217754,4.867367436843545,42,11–12 Seed,Likely In,Safe
Arizona Wildcats,120.63025340203255,94.64146587857202,71.71532258064516,120.56322622806124,100.78750305917664,67.3,118.4037022411222,123.48640205321605,114.05799953677854,105.45405175700039,88.87252235096138,92.12801117484634,70.785,72.4014705882353,71.125,119.62765852875161,95.80095696816433,70.5229435483871,1711.3183350833528,23.82670156058728,8.452733403334115,19.21451111341133,2.7808149650291387,10,0,18.0,15.00396586199511,-6.213064354575934,12.635921390132378,3,1 Seed,Lock,Safe
Gonzaga Bulldogs,120.85440413403384,93.36105230006282,70.46136363636363,114.69045608205292,96.8559773008282,63.36,118.7829012140407,121.79217769381975,121.68545735942665,99.56530005707558,83.29765407099882,104.4746142832919,69.4525,71.92666666666668,68.975,119.43807510484751,95.90181784773853,68.46306818181817,1696.1386703668834,23.536257257108986,7.845546814675336,18.82904412437889,0.293649078409789,4,0,7.2,11.317280080287022,-9.658873052746301,8.75572121934465,9,3 Seed,Lock,Safe
Virginia Cavaliers,119.39902793973157,100.09111041854807,67.90483870967742,114.31332432795989,110.03852985796443,65.85499999999999,111.1417526740731,126.00919321363905,111.94901368977095,103.35410848567199,96.73700585213717,106.18855965798461,70.38250000000001,66.05735294117646,69.5625,117.01009989929454,103.49258266431764,67.64102822580645,1682.0475745369529,13.517517234976907,7.281902981478115,11.646832958927268,0.9413106687490674,3,0,5.4,7.086465628052936,-15.033123051188042,5.658257282276419,28,7 Seed,Lock,Safe
High Point Panthers,121.23845647396129,100.38976966580474,71.50483870967743,115.06493155985314,102.54996331143487,72.045,117.24085954663072,124.0988299596606,120.24885219688774,108.20779825917741,94.08736716698346,103.84316682894264,73.06666666666666,70.38333333333334,71.9,119.5466346038732,101.44782765168294,71.69915322580646,1676.711663146268,18.09880695219026,7.0684665258507176,14.789704824288394,-3.0774152527600735,0,0,0.0,6.1624274424100784,-8.333718559738287,4.29937754089492,50,Bubble / First Four,Likely In,Bubble
Florida Gators,121.11919213350733,98.22001390113469,72.44032258064516,130.99671794048473,101.25365003184702,73.41,122.21122511271392,124.87568053894437,109.90791615457046,101.7128915639963,93.15542055772951,105.06003448821157,70.595,72.76833333333335,74.69583333333334,121.90688218841113,100.00442602187431,73.02106854838709,1669.4782662471043,21.902456166536822,6.7791306498841735,17.36545851154103,3.567225255262493,9,0,16.2,14.059511305956601,6.8438896762650785,12.117758631326902,4,1 Seed,Lock,Safe
UConn Huskies,116.62134600786803,97.35279297620505,66.9782258064516,110.6999774837652,99.78312364740263,65.655,114.66471423117038,118.51679014087756,113.05481243537201,100.95317285614605,93.7137846690015,104.77244715724161,65.94318181818181,67.14411764705882,69.83333333333333,114.60602384096791,99.07332377115992,67.07568548387096,1669.053347735629,15.532700069807987,6.762133909425156,12.901530221693138,2.3228209013528502,7,0,12.6,10.176067343396692,-8.351699195300412,8.650708575028908,11,3 Seed,Lock,Safe
Saint Mary's Gaels,118.08063013064672,97.59216393354502,65.88790322580645,119.4687338672607,102.11108578508119,64.285,112.50584642800091,125.28405264240072,106.17924549832563,99.14318101747952,93.36031869882002,108.03203451679596,64.6775,66.215625,67.26,116.64244836995206,100.2878749839167,65.69299193548387,1668.2910621992798,16.35457338603537,6.731642487971194,13.467694116616116,2.1308143639011554,4,0,7.2,9.087614381779552,-3.1308181149221923,7.5508533064635195,16,4 Seed,Lock,Safe
McNeese Cowboys,115.01087050854858,99.64507818475808,67.09596774193548,108.34036019054695,95.51608815206738,69.78,109.51963619757056,121.93105759013285,113.77787758348472,104.14936219307697,94.92772133023935,98.35473941231015,66.12857142857142,66.79583333333333,70.525,113.15829399028858,98.4192798607182,68.28133064516129,1666.2453959132793,14.739014129570378,6.64981583653117,12.312254641658615,-0.9296076798735682,2,0,3.6,6.470242963872404,-2.5415202853109378,5.191194629447471,34,8–9 Seed,Lock,Safe
St. John's Red Storm,114.31843301738601,99.01912904034486,71.45725806451614,103.67877219659545,93.61052312415718,67.375,113.00932151141413,115.07656823373557,114.36913711283019,104.36215567330638,91.14913335913107,119.10904410309965,68.3625,73.78529411764706,69.3,111.666123426505,100.68046482071117,70.11310483870969,1662.6115621389797,10.98565860579383,6.504462485559189,9.641299769723437,2.4191619053391413,3,0,5.4,6.590970109186232,-5.231054904602885,5.686679713517563,26,7 Seed,Lock,Safe
Houston Cougars,118.80826169142294,96.60805330482718,65.36129032258064,114.62969401902076,104.59644381387405,66.56,115.21081634081601,122.09868107625257,115.42997802445433,107.22782687409287,86.93496684396598,106.47329017989186,63.4388888888889,65.7140625,67.30416666666667,117.25687722327709,100.0849364633486,65.95239919354839,1658.8456080828132,17.17194075992849,6.353824323312528,13.9265058289437,2.1870898713283733,4,0,7.2,9.434257758936328,-12.166958181449047,7.466712544910418,17,5–6 Seed,Lock,Safe
Saint Louis Billikens,121.35898474083439,98.06478142769608,71.76916666666666,113.37643406549589,113.92256750554911,66.85499999999999,111.07678203609444,128.9244304531669,104.68098685354144,102.11103569841687,95.3599956516087,102.17658205887848,71.7125,71.92361111111111,70.6625,116.86164738890582,102.64599804183669,70.374625,1656.0197743561082,14.215649347069132,6.240790974244328,11.82319183522169,-0.14572549832592177,3,0,5.4,6.985255814413581,-23.840336753191536,5.0936390884768175,35,8–9 Seed,Lock,Safe
Akron Zips,123.19421359340093,104.57202247582306,71.44137931034483,124.51604092576903,94.77152088366694,70.675,114.18406100193944,129.32067947256598,130.31365726049893,102.20715529678745,102.595197437861,118.0913053863066,69.88958333333333,71.94423076923077,74.4625,124.59258697655766,104.14978951435654,71.70295258620689,1655.7592168403753,20.442797462201113,6.230368673615012,16.179068825625283,-1.1317257298178318,0,0,0.0,7.781014979444205,11.122328924524226,6.0371843866905195,25,7 Seed,Lock,Safe
Stephen F. Austin Lumberjacks,112.94217864358323,100.08149064707503,66.1241935483871,109.10345690584668,106.29204106604757,63.39000000000001,114.12578163331442,114.38717775711885,93.95016242584991,101.4342025000132,97.4519857370143,108.3426861204639,65.25,67.45178571428572,63.3875,109.1336957764891,102.8733075728265,65.03014112903226,1650.378090377802,6.2603882036626,6.0151236151120795,6.186808827097443,-2.207235054499587,1,0,1.8,2.1816230123901854,-10.049272156709094,1.7878952986681396,106,Outside Field,Locked Out,Out
Michigan State Spartans,116.83486426426678,100.52568192236834,67.3741935483871,120.34066364057026,113.27539142980102,64.85,114.01769726294333,117.94163718760447,119.17399684339021,108.96249327945839,97.39907322048636,92.72174051264162,65.5075,68.28676470588235,68.1625,118.06218399521117,102.54251808776749,66.86139112903226,1649.434680188285,15.519665907443681,5.977387207531401,12.656982297469995,3.834241345165974,7,0,12.6,10.699850833785565,-9.243910131129212,9.025924219509932,8,2 Seed,Lock,Safe
Nebraska Cornhuskers,115.05706828088384,96.46628793343761,67.67500000000001,112.61732961687986,100.22273600398451,66.92,112.17724044928225,115.30277218007548,123.18227099107268,103.78906983000554,89.8779925660019,111.58678714949203,64.885,67.96666666666667,75.22500000000001,115.66591402141115,99.67347483348249,68.61875,1646.4294856077688,15.992439187928667,5.857179424310752,12.95186125884329,2.4074175051391737,6,0,10.8,9.939571801970178,-6.196186734550878,8.287593154201762,12,3 Seed,Lock,Safe
Iowa State Cyclones,119.3418430495763,95.73893423720365,68.5359375,110.4709153620202,95.53248289003807,68.975,105.88148405567861,125.52364976682532,125.24441819872509,101.71191697571851,93.16850397734322,92.53243164369937,67.8275,68.33088235294117,70.65,118.00949740005959,95.2063460113866,68.9628125,1645.484308641535,22.803151388672987,5.819372345661404,17.70801767576951,1.093288692928232,5,0,9.0,11.753911597994076,-8.664476340390522,9.084978800031958,7,2 Seed,Lock,Safe
VCU Rams,118.20544157405581,103.77340137877172,69.91532258064517,115.26303257606256,104.83456337424268,66.885,114.91753716355088,123.05189653991283,105.82776899542584,108.01827198162005,101.18301072719895,104.17038514083518,67.3625,70.30441176470588,74.64375,115.613188437763,104.09823944194898,69.8670060483871,1644.8585484495927,11.514948995814024,5.794341937983709,9.798766878464928,1.3497001062544374,2,0,3.6,5.978374635514664,-4.0035709934642085,4.956222283787559,40,10 Seed,Likely In,Safe
Santa Clara Broncos,117.80954897109395,106.25761458493233,70.29621212121212,118.43787517303993,121.49262755920935,64.155,120.08960250010756,119.73366881519426,111.30726564152467,110.18938096111218,98.73362871789355,114.0184110850029,71.52954545454546,71.01964285714286,67.334375,116.99128802214504,111.23048730351216,68.31663352272727,1641.9993643481205,5.760800718632879,5.679974573924819,5.736552875220461,2.4617890808831926,4,1,5.0,4.41594646576227,-14.606686772331045,3.8536757553817576,58,Bubble / First Four,Bubble,Bubble
North Carolina Tar Heels,116.02286085834577,103.44375193431786,68.63548387096773,111.27281908082924,106.75763753989227,66.52000000000001,110.18511392746682,120.3348981250067,109.60979369464333,115.96159935654319,95.73158870444664,107.9905732394608,68.3725,69.4388888888889,64.69166666666666,113.87339033941127,104.95424653148291,67.51504032258063,1639.6907257968214,8.919143807928364,5.587629031872857,7.9196893751117114,3.562235290479254,7,0,12.6,7.964439874839085,-8.063927383090942,7.202444213027598,20,5–6 Seed,Lock,Safe
