team,rating
Duke Blue Devils,1717.3926950715784
Michigan Wolverines,1716.4121129154134
Miami (OH) RedHawks,1713.9456941276571
Arizona Wildcats,1711.3183350833528
Gonzaga Bulldogs,1696.1386703668834
Virginia Cavaliers,1682.0475745369527
High Point Panthers,1676.711663146268
Florida Gators,1669.4782662471043
UConn Huskies,1669.053347735629
Saint Mary's Gaels,1668.2910621992798
McNeese Cowboys,1666.2453959132793
St. John's Red Storm,1662.6115621389797
Houston Cougars,1658.8456080828132
Saint Louis Billikens,1656.0197743561082
Akron Zips,1655.7592168403753
Stephen F. Austin Lumberjacks,1650.378090377802
Michigan State Spartans,1649.434680188285
Nebraska Cornhuskers,1646.4294856077688
Iowa State Cyclones,1645.4843086415353
VCU Rams,1644.8585484495927
Santa Clara Broncos,1641.9993643481205
North Carolina Tar Heels,1639.6907257968214
North Dakota State Bison,1637.1343932388165
Utah State Aggies,1636.8714128745019
Illinois Fighting Illini,1634.4550278689078
Alabama Crimson Tide,1632.5901953703055
Villanova Wildcats,1632.4182174552045
Tulsa Golden Hurricane,1632.3408888401832
Miami Hurricanes,1631.718956923946
UNC Wilmington Seahawks,1631.6567197465329
South Florida Bulls,1630.4075196051836
Belmont Bruins,1630.122440824484
Arkansas Razorbacks,1629.876203706775
Utah Valley Wolverines,1629.533732800753
Yale Bulldogs,1627.0498304297041
Navy Midshipmen,1624.4574162971287
Vanderbilt Commodores,1622.4215980453948
Kansas Jayhawks,1618.2482270090766
Louisville Cardinals,1617.5044285452423
Texas Tech Red Raiders,1617.2298741207258
Liberty Flames,1615.184120331253
Wisconsin Badgers,1614.7438845306908
Hofstra Pride,1614.0692323637736
TCU Horned Frogs,1613.2973295008153
Purdue Boilermakers,1611.6351573985678
California Baptist Lancers,1609.433534453958
Clemson Tigers,1608.0681720285422
Tennessee State Tigers,1607.5201086304646
Kent State Golden Flashes,1605.6927289306864
BYU Cougars,1601.0891319773964
Georgia Bulldogs,1599.5747225982586
UMBC Retrievers,1598.7076771501452
UCLA Bruins,1598.334140950287
Wichita State Shockers,1596.8431093303411
UC Irvine Anteaters,1596.5666425875627
Wright State Raiders,1595.803696360247
Merrimack Warriors,1595.4586427264128
George Mason Patriots,1595.436010272697
Dayton Flyers,1595.1508132794172
Saint Joseph's Hawks,1594.0106828210835
St. Thomas-Minnesota Tommies,1593.6885410741838
New Mexico Lobos,1593.3349007990078
Hawai'i Rainbow Warriors,1591.364547473003
Sam Houston Bearkats,1590.9967437528849
Winthrop Eagles,1590.906556524739
Long Island University Sharks,1589.3933122678216
Tennessee Volunteers,1589.313507996319
Texas A&M Aggies,1588.2449635906478
Charleston Cougars,1585.8946938548343
San Diego State Aztecs,1585.603419358321
Ohio State Buckeyes,1585.5418103600111
UC San Diego Tritons,1585.4847704440874
Siena Saints,1584.526259850478
Central Arkansas Bears,1581.507669737456
Austin Peay Governors,1581.1810803969406
Northern Iowa Panthers,1580.6862185028635
UCF Knights,1580.4002549391291
Troy Trojans,1579.920218620568
Robert Morris Colonials,1579.8411201524375
Colorado State Rams,1577.793183198521
Kentucky Wildcats,1575.7057477502901
Bradley Braves,1574.0908837856737
Iowa Hawkeyes,1573.8397079983854
